public_total_salary_wage,privateprofit_total_salary_wage,private_nonprofit_total_salary_wage
25404844,590494,11497517
9008641,314058,8945106
86589943,832606,16962920
5967414,5890,836922703
20458010,2933594,2922230
6577088,3732292,4229762
6349563,518440,1119898
19608447,646033,5308034
8301594,194953,30005098
45547639,5251424,4673111
13681962,472430,3597417
6854258,337980,816792
12725048,827784,53645030
46413891,831510,3865355
507985000,145581,6995543
6628515,157563,27370297
334518969,413387,87492353
15710712,514197,21571559
34056982,300514,71236671
398797000,398593,20296570
14965433,2248308,4109306
16153612,184321,3349971
20495761,294477,2418005
7420970,2462415,26974114
5924870,895362,57569280
23425178,1222773,1856649
30897106,643080,1378694000
56098510,54093,384914
1060561,366813,10514116
4850556,80605,1380462445
2960965,1149780,2436333
11378351,445120,23887787
25850260,1191321,6747042
62876804,513053,4353622
31671357,1248053,182815449
6323436,667635,1220372
20018693,22880,142523
51378259,219916,18536490
30644351,100000,16608627
45110000,462744,1262294
1214728000,739210,14128278
28560936,4757697,5243572
444944751,3951441,66746353
356251826,1841786,38617832
144326871,768535,8720924
214222806,877106,1315359
23512887,1628694,38611391
34936025,5281251,337020000
11196723,139677,59743000
10899503,11449817,147301235
13218555,2955870,29933545
42328339,2993898,73408018
68111073,2668966,62847022
9617174,1991340,67002466
73321514,428800,29447000
38304738,2493717,2522912
14517536,889236,4626020
56802277,191506,20807749
14308176,56314,22372946
43057836,2728638,20286926
46805670,507000,10853249
49124398,3400783,20219461
48618842,3605747,1717865
72513186,1059355,9599817
110025220,149700,13465040
66228627,3832000,11180262
21744352,1321476,11767308
38626442,1737729,5613210
19542658,362090,53136829
23962760,8296490,16655363
64465654,383655,6756059
40966272,1328326,9438907
39592156,85223,20570441
13073538,1583504,17674234
74055083,2342311,5051327
15916427,2057489,5277395
510318,871347,4863872
56536248,72502,26105491
60872460,332579,20736333
8894166,1027609,6502534
113908990,8592944,157903
19998867,2536767,7558467
78117630,4598746,1520761
62875091,666703,6188832
205398736,5934297,120775
8688242,10006743,4602086
9392774,1134663,10848821
102716064,2229233,122685
4292080,802768,1241517
48332318,750248,5445759
363825996,6153719,9775271
5498338,423131,78610314
20845356,357993,25733481
27403647,1975791,8070452
46891197,461684,16029399
22208345,5427406,16396534
21741760,1142083,2522712
281150500,157414,8567767
48258856,1614999,59908881
11187855,1107810,11451565
17027174,1626316,2094558
22797767,609162,14997922
14161648,479527,2376619
488719821,1179712,510519
6653482,9424168,7809961
4020497,127345,17821302
4554605,2534701,7684769
2094328,549079,7179315
83157813,483918,29768903
33140843,641562,43198969
36491676,1330404,8001827
19042843,667513,13589653
12861074,1464589,64920818
20442112,6325083,4801510
47833155,3941180,2537692
2882097,5714124,2330746
51062511,2027540,1915908
18595339,3010489,36339190
21648983,2506595,42789230
17973253,1674401,28340771
8954096,1429985,12853781
6943974,1811621,6811621
19788672,3969202,18953176
13259644,1230195,13796230
32935306,362625,32822315
127898088,195885,531402295
1153318,1000,1265056
11916259,2126185,53275499
88835428,1824405,3372060
4118493,173938,1412932
1518098,124916,16602158
60674796,497312,4382263
37543058,1126349,772613
11332901,175521,1043686415
15557359,1200860,256249291
868786,8998573,4127832
2691127,1173943,15807789
11149577,3266842,41867899
161057429,1534914,1903451
1870345,797843,526358
1279358,1293707,16268574
1640884,400840,25705000
1473931,49626,11806500
1024432,3495303,2849304
14430412,992405,5954613
1680106,1943034,19343143
967539,17872180,26087250
3738266,3353017,10256030
176592311,1470577,7968262
159301041,576214,75968044
3214532,474302,1812430
13810390,704525,6517690
2399141,477262,23194251
22525229,745197,16684717
1490421,1038087,32669902
1444557,1621314,11294792
1777699,934219,3484122
839595,1630894,1224134
22011736,541058,3821558
1161604,1474361,24574782
31522186,1088592,3251629
2140709,1277914,320786804
1401610,790748,52029166
1703598,6371453,31325327
1244973,787358,13535006
2699272,1095884,52761480
3750648,4788280,16649843
1249309,1619002,236534000
35156106,1018096,11005924
84906498,22785741,22833474
605609221,10799000,8150556
49870051,4008534,1959554
86450132,254521,3936498
78965603,1096177,183325572
22162972,180045,5172929
23934923,1192595,15001611
22202179,1082557,26536882
30205074,2342012,52363928
21642560,997031,25366441
36966354,1007001,8788551
14717901,1138605,459065254
46699693,4077908,46998867
169818495,1094756,8519000
11705200,1200027,1696596
46588425,1172184,1505269
19632008,1402033,31631847
31712786,583193,19340695
19825122,651638,36121822
45901414,1779584,5558367
8427381,207752,6209284
4390484,153718,6204815
22688851,2283325,126743000
85677206,170464,35985000
31095694,1016000,32989479
51115036,1887725,35435298
14975001,726781,3170867
67612590,44941,5235923
30987789,1191157,2092808
32220658,373234,11928702
85788661,3418035,9816167
4834650,160430,5856330
10727627,406869,19373438
14015503,364032,46714900
20770004,278607,11992465
10366541,4370000,122149464
61634282,983297,14051422
190037717,1122013,19133630
69946562,6004610,15151372
25333161,533547,19632154
441274021,364292,48390128
12712284,242514,14104778
20635262,301800,1018421
86126744,428918,276949859
7848801,1232451,31616027
11194657,161689,1498221
33440773,449735,15459393
46450288,2671482,34599846
29456365,1135552,4469275
22926587,1241209,21347212
33782292,1594384,14624062
26327831,1333027,4411543
38012346,2078738,125159000
22466455,1835683,3255357
25779019,130290,29013288
194777132,9857600,508080
28615133,719796,43455016
263535914,12396000,7202374
10452212,1372608,11621471
20805015,859296,6685165
204453322,538090,1364733
10480563,1608537,14582158
9422402,1339911,16834604
12543541,1367569,70987000
75204644,810043,15182407
4995441,262966,11754429
46697301,2972401,94301000
29495603,1917281,14831530
140044797,1662493,22745576
46257715,223510,11447000
96270034,5087000,6197561
27059632,393819,44852180
18488932,2434975,51772000
89915407,995715,15183400
262128467,1736160,47771000
22986973,1366105,106341058
70836779,2802799,19843587
162792643,3455241,33860036
17266042,7041294,32672745
1291312282,1540720,7909923
417068620,2196241,2293704
968410171,2853023,196649
13004261,2094840,8710335
65158505,1810068,18695471
1191849880,208719,8738837
13931337,359838,405611
255326686,2285081,3678555
1125267140,1706187,363309
280232665,4825763,12893945
183447159,1205029,13393595
63413861,214673,200680
138620898,29817891,19744215
32044106,3329539,4570863
239030654,9862000,20687598
88817770,788822,19003265
65320563,1437710,29411740
356601682,366089,27321944
93041456,1525809,1968199
855304592,4467725,46481877
459402976,5213862,23200651
37541988,730050,14397493
7284832,807602,30175776
10887662,581433,6538908
16762026,1881511,16239303
19899027,327908,179721000
52606653,294691,619379000
7503664,993171,7112679
22107123,253763,30364028
4101857,978562,12384022
10527131,2509611,1604892
39249839,832136,8480302
8876268,1325896,10773317
19101894,217898,3215773
55887346,260401,31537017
4038542,40564804,4741691
280308519,517637,18111936
131916327,910047,903888
95337946,537440,11161703
1631104000,17765310,5309135
101929322,342138,3391007
16783994,1685827,5286831
17599064,4689531,3488311
11217871,732082,4616262
10697183,934391,7953007
2675722,2153485,8707759
15572341,1052587,568765
275726000,380257,35011743
13012884,152568,463623
172724406,3864210,40128388
303487,4858581,1055320
11212006,1405099,2622384
50338543,2133493,732826
5116603,232138,16047877
10787742,46124727,10301270
3583287,1054098,11833992
362544403,155848,5172317
18676342,773262,26841290
34590158,320999,12911315
188754648,323577,10307309
22978316,354862,5651223
48912979,281935,6789515
17769556,447511,11231002
46751721,788235,5302173
8308645,94934,33852004
14464919,1617689,17923826
57471869,2358521,580430
159044393,755613,7817363
183194245,162620,15028667
9059448,384329,43353567
5547984,41577,1994977000
15885144,1566813,15295107
80470125,315597,6994590
11062757,135235,4113329
6350760,1486226,11161577
16702451,3360646,58144
10056449,2582980,614600
28074310,281601,9393426
78213427,354957,769926
19337049,396104,855537
7363328,351298,813265
629139120,201547,11927275
18219800,722918,1080069
466786700,221150,801691
1180270586,303001,4269811
30119956,39333,3225806
49521242,594338,130149
6692518,526569,1447673
9656533,1394224,46386805
59527486,2929556,732573
13403476,1126534,1611451
11699431,1644151,403747
95685595,308602,1189638
15832814,937504,620874
42434918,2611783,136973
20789296,21528,6526413
23835034,2062976,1311143
104180875,150007,637530
44959193,1092709,60231613
36135632,1409163,642881
46255766,47930752,2463425
22673685,3442558,2403055
12149835,3190273,191916
41150338,3218251,1202778
33572110,1123440,2409273
19144682,4048664,12111558
19200841,1810781,814839
19395824,1202426,2758768
28286566,221302,3885627
26863123,1122675,3618313
13598573,979891,2721165
18959253,3044667,2538636
29380579,428078,380740
39770066,123837,3072962
29657850,2177972,2360162
23797976,1175790,2392840
20358725,4554399,490542
47478024,1133740,567474
26449416,2466700,569256
32599094,1276522,2058795
23158111,111729,78480
497999719,10902000,5227786
2280700305,692480,1148241
17093422,719355,712314
141788093,1403986,8411321
18166959,864597,1080732
20540917,198361,3667381
1929354,942848,7143705
10857019,328424,128408
2316688,105800,2816806
16695186,817240,1095479
27296460,1262181,16856000
10140407,1508684,593577
2570956,4019633,2088703
158684,1550904,2876187
129192191,2078625,202335
833858,145210,1663421
751009,1145978,469010
11117056,83371,2590350
429851,1026858,173766
26177277,364449,32292342
8506432,1002126,11123166
103200,4475876,6074022
19452371,1922022,314844
21280261,89338,2494808
16994324,850746,2803140
6458607,120750,5033456
490860082,9197689,2187609
100020164,9329446,2735000
17364088,423215,1944065
64087861,182400,499135
49001275,1950858,3404388
17764410,112080,1709182
16175682,1905203,7379161
118823324,2561667,149850
27263660,3958919,720371
13313818,2513559,1955956
27822459,1390098,79378909
56167345,1843914,46584843
13716332,2385899,849393
45154895,4993022,487754
34788030,1554051,485034
43913728,1311602,1975336
29702755,566083,198036
76807365,284179,578818
28143566,330614,1428127
74741479,2181156,3596290
38061220,5179503,4745751
68575982,956354,7788996
79365919,1460833,48528
25479429,6067000,939644
63458738,1225433,998390
21701383,178075,1750709
22249317,4261415,469978
1200126459,903136,2194258
252623961,50061,1198095
55215720,1500977,1919041
39625258,1965950,61836
66433967,1721549,105120
25451892,1484650,196876845
12150985,1142029,2034711
6623357,284051,203922
25830612,185148,2349145
12855220,640218,1825105
14887359,552968,3625098
16711327,937124,1927198
240773928,7180808,293849
7872045,5156288,507993
14219166,116400,2008887
36555616,1360907,72935
6344329,2142750,2467635
1489334,3230283,2523456
5066572,241450,1829136
2447297,1188181,1823933
614910,1250125,389803
2600000,622147,2305879
1180752,58674,3284320
1955886,221675,790261
15515804,4865491,5316433
21843247,987075,1222202
25302562,569927,1550589
18898457,199598,4949908
24114123,869484,1318544
18386676,69297,913135
28598116,208745,269006
10094224,671116,525818
125819315,258550,241963
157727703,291118,570454
16478808,1618838,13023395
143900681,499534,36157313
7907187,767128,751558
3385959,436933,3869152
31719625,339915,3864831
792814489,2218889,1560105
469619,240420,4848480
68793544,159400,3520626
17969718,4321075,3052438
6045677,2895000,399937
22866804,10079000,1414948
1219199,749171,2697235
424962,9008643,955517
19874442,1432622,2395450
15594708,1477645,4628069
1680208,740173,266763
9989471,843442,569984
3849004,10120206,12702000
84958612,739506,1011884
10321549,675057,5527786
7156373,2642931,12865979
2916305,2455502,1580437
342581,303021,1377449
4083920,321647,2538369
1128008,1017727,1828514
13178441,1034485,23095008
175075,4426907,665727
222704,6873537,398745
65851562,3265881,613345
224418,1796722,1384000
28444393,463955,57838
16812505,1841468,1491317
16917830,194234,376449
5852984,768346,8521415
26029921,3113529,4246423
33632171,117130331,2009793
2525480,5177034,578426
1293172,3704244,1049731
4655395,198341,1679327
443244,762650,1541573
4373382,774270,2542060
422940,411954,315070
3283436,363487,2118063
6297613,1021224,665787
197288,1165332,512552
15105949,255107,571886
1059536,69200,656878
7303126,637225,5835049
370690,1476234,2273021
3364588,907497,2131576
111388140,725662,2272369
31338495,1197046,2479965
8737693,1990192,40081823
1507249,1136866,2208811
205830,557627,12956668
86357975,987345,73898
25648512,82871,1451862
2980368,407355,704969
897772,197030,167054
2208022,992160,707111
415236,6928190,6406233
130147,471025,38208
8137752,964978,9525251
473012,1368118,767547
4895633,823568,1328862
1271015,1122549,1600600
3708662,1226215,5118408
1341992,513182,2416966
496159,1076239,1822727
472755,1380956,1422843
1211751,4017031,904423
550790,2742208,2155575
205801,1820123,389004
1234735,3309348,365151
6368246,5121841,3644114
14896582,866004,370993
858627,2018182,1481528
4337777,1726042,301904
384827,2392630,4063462
278717,2430840,3999583
3157543,760888,2311937
6758000,1594156,89881155
8024280,182095,3481000
3412051,3554642,1290721
3508825,522225,990351
638748,2456078,143400
10504585,1989160,917741
19168168,1750631,295757
454813,6111792,1049264
605808,276436,1902765
1014088,293684,2900359
657000,303417,465810
2644689,910149,1689582
27193331,1414595,1834971
20655295,2502580,81512
1104665,3050196,7720828
1649084,450601,227326
189377,844296,135224
9543799,682744,735318
31993268,26551843,259800
3663553,3868000,1341415
4242009,1221006,10039778
4820465,1443650,2040454
9432559,21499000,3198960
22875121,213998,2671086
18131147,645462,2870
694015,131205,4640085
131506,250568,581185
774346,2372048,1190056
904869,949253,14403451
556580,4659150,1260371
1765920,641975,1301419
60795,1777488,86640
1279097,3677942,1019711
595357,3533539,274962
1402375,482487,684054
962639,312640,694783
76859380,39523,324245
10996940,853058,244068
63208,362978,255222
806027,279476,205860
57905944,876873,750287
301416,566783,3311537
243229,115149,7285308
2878040,569908,187602
1532082,883816,947731
6054458,238373,474890
3808567,1770909,3874317
4959798,93772,25040176
2610035,1158808,20989000
696441,839721,1622801
396164,169274,1736605
412508,1120261,6215156
692134,6097875,602995
287175,230832,894290
519625,737077,1912867
530244,82272,616012
672238,7721000,226841
218529,894795,418509
215546,656235,1110534
127680,156907,704040
237572,434819,395013
1185017,500516,561200
523279,27211,1509796
448998,199655,4312464
463940,39185244,527500
4764261,3988950,2780729
242838,3898965,12978546
267561,4674609,1815887
413778,5544048,442478
1022374,2246744,1290721
260434,697863,7915656
189849,543225,1288933
1316425,2977495,757237
479607,373429,16093073
1495686,172136,2216037
325903,1456018,1643489
818996,3538649,8808495
2132135,2297960,473848
828585,2354656,944828
1165715,2739832,1747584
463945,3762502,3600589
2628520,600966,437697
5405376,1404726,1064070
5103465,1289210,1431754
12576920,3463300,655734
4135568,2352295,129344
1927209,2860086,928217
1716539,12557,1003151
866088,19973,2084010
173796,596533,4996215
1847788,8642207,1402047
236227,2475855,474118
851303,351106,6431523
392303,662542,484622
2007652,663202,882478
508082,612890,889832
594494,1605840,933325
296704,586875,1321874
321170,749558,1493923
161332,27084396,428624
251433,71124374,100271
648577,8439760,2393129
4093735,6358958,326456
66659,1367196,533915
244311,657386,827240
220881,375951,358663
28222626,255203,8974335
8722264,513354,1090630
5769992,547311,715666
2043541,1195586,1046011
4992094,1861514,8021185
4655515,2681059,1378826
2065663,739859,132857
3324351,1837773,325534
805679,2625741,537705
671389,143548,3921334
222388,0,140553
2329758,922184,745521
1916195,1269211,218946
1311449,4756592,519371
6862308,756564,782300
5140230,724350,723505
1794464,1399923,2602803
124903,3297086,1833573
826604,52883,907000
630055,5262281,663510
3817174,3346517,930301
1024850,424752,3180755
1292471,2381772,461388
1635846,111827,350040
540818,945240,1247296
166869,723428,175600
356347,1435865,11247097
415242,440250,12478000
1885058,493208,25223296
203436,95246,3043000
416417,25432,537591
1389973,928783,424000
327434,703949,2434779
8842919,676615,1185298
410785,689648,367046
1370241,174706,3750
1238197,1114251,135602
4824081,146743,79622
100044102,203269,453050
16927925,620477,350360
5962333,554161,379004
109662324,598298,1141821
185571934,900466,167452
4392890,7115000,147144
28045087,1022970,3563252
18682700,275000,2489682
2180726,10190184,26151
13896774,1363676,40011801
12350483,843023,797987
11511907,301201,525258
794400,1251419,1750
149477,888112,3158572
8826600,308771,
1701379,1459158,
8147438,196865,
1098593,1585809,
517982,490033,
497135,2501656,
363506,617414,
150611,3205885,
4298052,1248120,
211230,1420130,
294189,1729580,
11686272,3177892,
16443000,2498877,
51293630,1765958,
4110142,185876,
1542549,3522289,
9023934,1860748,
33392040,1941000,
27995519,670125,
7953615,2321037,
113207727,260078,
109932,457425,
228350,518453,
8231266,954830,
4072471,2072009,
8686250,1985582,
56969684,611597,
6400565,860183,
2062727,1023470,
16377973,242062,
3064761,215685,
32368172,627024,
400997,677736,
2024047,1356038,
647378,835463,
2686595,1239917,
15357625,503010,
315927,974929,
23153022,768159,
8164528,1881147,
5629156,2430969,
1021612,866702,
2320115,867817,
365575,207782,
330955,352094,
744231,374736,
671983,597354,
833133,502956,
447052,2149958,
268236,1913768,
22842142,1430694,
28041063,361763,
28359830,4305661,
336269,1415538,
72120,34602644,
1290210,2639747,
710594,598277,
1430474,679580,
1195458,365064,
16173901,2799639,
1961933,3507370,
22729926,563734,
3235538,3337311,
469011,3406022,
132450,1235485,
102590,1419363,
928624,1892751,
400295297,1384299,
36271504,458050,
85997397,1014143,
9217577,323911,
15564021,849543,
16278013,2242612,
29599660,2967549,
12459723,9646644,
980368,476896,
4967000,944258,
17394969,102399,
10442648,746138,
27863451,1802038,
586309,1367399,
954377,195356,
10288641,927832,
93944243,471125,
776814,1514958,
320928,745009,
152413,355946,
198005558,693807,
174116,670260,
23292,545657,
289884988,88756,
15439194,2021578,
70485180,1333857,
251875,652140,
11428992,141113,
3430584,1169892,
17404461,732500,
15146898,1381102,
,152632,
,762639,
,124075,
,644979,
,47667,
,1246488,
,261096,
,70228,
,561556,
,1937492,
,546232,
,629310,
,3475476,
,9156653,
,966446,
,395637,
,480503,
,890000,
,299219,
,478323,
,1009641,
,172994,
,168723,
,772497,
,243910,
,356710,
,124875,
,100000,
,1042608,
,357750,
,322601,
,33269,
,1650543,
,651784,
,1283786,
,3295971,
,1339160,
,1610682,
,2814086,
,2708019,
,126538,
,1213421,
,2000370,
,743942,
,1830202,
,3616062,
,2462370,
,856050,
,2620273,
,1236215,
,1621138,
,1487990,
,414855,
,270441,
,230577,
,498672,
,496514,
,547260,
,712753,
,637790,
,11095606,
,873372,
,3913098,
,5120348,
,4982257,
,325250,
,322715,
,306987,
,303205,
,314914,
,361906,
,252201,
,1964378,
,763705,
,105277,
,732062,
,445820,
,337251,
,1044504,
,18254623,
,9956978,
,929198,
,1275029,
,5048658,
,4718263,
,1925756,
,1113462,
,397041,
,732812,
,662966,
,444193,
,2395542,
,243372,
,200909,
,378186,
,508610,
,2486573,
,104109,
,94314,
,497753,
,369960,
,180424,
,926203,
,541961,
,1829847,
,1652877,
,1661525,
,1657171,
,1661279,
,13662144,
,670160,
,2553159,
,3374775,
,2771122,
,150638,
,583046,
,720436,
,685355,
,588705,
,4576873,
,915574,
,2887138,
,4636000,
,2906000,
,3698000,
,2143384,
,461807,
,481165,
,564591,
,912580,
,7043000,
,640000,
,3270805,
,214872,
,755694,
,519766,
,6003877,
,7493730,
,6167937,
,1860860,
,144864,
,3103195,
,2065203,
,1646430,
,1876479,
,2467566,
,2105739,
,968601,
,4838184,
,1684618,
,3095194,
,374789,
,540844,
,648218,
,293725,
,349360,
,2170242,
,2119727,
,204576,
,38016543,
,1066614,
,317033,
,1315748,
,580833,
,274036,
,79359,
,769389,
,295608,
,656717,
,805862,
,724337,
,787160,
,299824,
,1402239,
,229350,
,143640,
,106454,
,677547,
,1300065,
,1878154,
,479899,
,583984,
,399061,
,75557,
,200431,
,937320,
,357473,
,857427,
,274458,
,767021,
,379357,
,318299,
,494956,
,1576515,
,969099,
,638438,
,279998,
,327468,
,150000,
,158900,
,554042,
,100000,
,427715,
,131526,
,2208565,
,373297,
,2168201,
,325000,
,409643,
,1247370,
,820413,
,478399,
,527384,
,423337,
,69771,
,260435,
,993313,
,2156192,
,820118,
,177268,
,1346136,
,510973,
,11507,
,935369,
,397950,
,830713,
,691438,
,415320,
,309815,
,235746,
,169796,
,391667,
,517275,
,650089,
,512144,
,530217,
,5572485,
,7740524,
,598888,
,2585908,
,828714,
,947536,
,880779,
,717033,
,395180,
,1376273,
,4891273,
,1265014,
,963405,
,1541927,
,2055218,
,2375225,
,463054,
,2720042,
,1163289,
,856282,
,795417,
,894851,
,116600,
,2566498,
,232849,
,1969955,
,3112289,
,60681,
,421994,
,1330794,
,1039051,
,585682,
,490889,
,810570,
,1687234,
,1762075,
,1347382,
,2023416,
,1529541,
,322756,
,1519651,
,45530222,
,1455145,
,1091475,
,239543,
,460484,
,1328917,
,1102607,
,3045631,
,3137930,
,213442,
,216767,
,213157,
,592141,
,1798759,
,609428,
,5090692,
,490648,
,612230,
,245938,
,500296,
,671663,
,335718,
,436165,
,522981,
,2476059,
,134901,
,186685,
,196751,
,79826,
,1566365,
,758272,
,9418786,
,2458658,
,2040780,
,1018696,
,2285786,
,399921,
,462735,
,668838,
,615707,
,904820,
,911116,
,304490,
,362930,
,662511,
,513601,
,165339,
,339198,
,310547,
,117108,
,641200,
,551888,
,303506,
,323654,
,146548,
,1200053,
,405737,
,1282073,
,172689,
,83804,
,1681460,
,334864,
,414770,
,1702680,
,173567,
,620269,
,268875,
,925078,
,232776,
,772551,
,330674,
,688098,
,83022,
,142124,
,1582767,
,817998,
,1223450,
,36166,
,2295410,
,773336,
,1207612,
,73338,
,4482509,
,420169,
,384143,
,491783,
,419492,
,628684,
,342681,
,882543,
,216684,
,2257860,
,497081,
,102898,
,336549,
,1332617,
,322579,
,328921,
,272099,
,221000,
,222729,
,1349355,
,463041,
,3672057,
,2342777,
,2899954,
,3383596,
,5770721,
,2077985,
,711062,
,1808849,
,38780,
,1981537,
,385939,
,1615044,
,423582,
,2249439,
,512906,
,485674,
,577873,
,2053029,
,194844,
,65250,
,408089,
,10680581,
,2659996,
,1262986,
,1914064,
,98230,
,553079,
,150550,
,1289354,
,2250864,
,215360,
,202901,
,1094887,
,635213,
,240080,
,622139,
,1253055,
,3405212,
,534494,
,269772,
,549039,
,383528,
,235000,
,744570,
,922009,
,117885,
,1140465,
,307787,
,151374,
,291709,
,269221,
,511242,
,188562,
,88446,
,731581,
,302779,
,606793,
,204480,
,43680,
,360461,
,331333,
,1704099,
,3394788,
,321851,
,436144,
,143000,
,194365,
,21675,
,250543,
,3409225,
,314655,
,530895,
,722993,
,408507,
,536412,
,382552,
,534454,
,1111145,
,953737,
,1836544,
,1747585,
,367009,
,787303,
,1059748,
,569840,
,224101,
,930407,
,947047,
,349273,
,386556,
,1912841,
,2407468,
,395233,
,506098,
,545280,
,530209,
,341356,
,946708,
,437107,
,2083082,
,9335911,
,6791345,
,30269400,
,3344791,
,8873257,
,9495278,
,38944311,
,717239,
,3026156,
,1352864,
,8179018,
,3453810,
,9230385,
,794339,
,4568863,
,1451720,
,11817226,
,5679346,
,949389,
,2327897,
,984042,
,220597,
,803389,
,2971120,
,707838,
,273687,
,156204000,
,938732,
,440298,
,958193,
,144339,
,113725,
,1652532,
,946593,
,579388,
,41897,
,968017,
,862390,
,362344,
,1173701,
,169383,
,876327,
,181181,
,171889,
,200823,
,434950,
,62939,
,293478,
,1146468,
,148760,
,151888,
,524865,
,415682,
,37889,
,64544,
,110161,
,148683,
,207853,
,997642,
,195291,
,285354,
,1387880,
,242171,
,244263,
,303981,
,2161888,
,118711,
,184252,
,66318,
,55000,
,243000,
,36221,
,31000,
,124010,
,308111,
,2778703,
,542915,
,266448,
,94452,
,132986,
,363516,
,1065619,
,60000,
,268079,
,181161,
,180549,
,197320,
,457701,
,93478,
,390761,
,832073,
,320954,
,36133,
,735344,
,343832,
,437671,
,607951,
,688030,
,896858,
,1610786,
,1015031,
,377589,
,96800,
,836922,
,503818812,
,503837,
,58163482,
,3816510,
,7464874,
,5108644,
,1183608,
,2519530,
,1202219,
,4299299,
,2016138,
,615711,
,3321254,
,10250772,
,3374761,
,1780620,
,572652,
,2181670,
,315796,
,2223922,
,281944,
,627170,
,169568,
,992167,
,115934,
,136263,
,19838,
,2425557,
,471880,
,2188584,
,606015,
,622124,
,448769,
,110333,
,12876301,
,223495,
,182799,
,259299,
,146055,
,796041,
,116181,
,1590581,
,206246,
,158406,
,410367,
,25000,
,146201,
,19548,
,27664,
,726838,
,423381,
,56000,
,358175,
,257362,
,3795,
,251188,
,4560,
,325380,
,78568,
,188055,
,107514,
,11139,
,1115666,
,88000,
,13596,
,46140,
,510543,
,421196,
,272896,
,455124,
,1024486,
,737430,
,170358,
,131995,
,52469,
,113451,
,98664,
,11000,
,615356,
,1740165,
,643364,
,395636,
,115000,
,73832,
,266709,
,587101,
,845516,
,377715,
,318270,
,475659,
,890740,
,3526040,
,625979,
,759424,
,436338,
,1980961,
,1980553,
,2179017,
,347210,
,138979,
,1004100,
,93440,
,140074,
,205416,
,36858,
,2686844,
,2614086,
,486524,
,405799,
,391788,
,512711,
,2525186,
,1944547,
,1787506,
,2918700,
,1502337,
,2246705,
,1947550,
,1465302,
,1973609,
,2334132,
,1167611,
,1616664,
,331576,
,348736,
,1180000,
,6491000,
,13287,
,216432,
,1203210,
,29590,
,323577,
,1055370,
,157660,
,20919,
,61570,
,11141,
,36076,
,89800,
,30000,
,102727,
,7898,
,1415308,
,1205000,
,81491,
,0,
,616439,
,44356,
,70527,
,314497,
,593853,
,525000,
,40578,
,84240,
,86483,
,22981,
,1000,
,45600,
,21987,
,79866,
,140105,
,167674,
,519,
,62606,
,375639,
,53081,
,100651,
,446489,
,66222,
,323577,
,473594,
,307077,
,135800,
,13826,
,42000,
,236542,
,100645,
,145800,
,516041,
,5210013,
,3955718,
,311864,
,34998,
,622504,
,4601682,
,727027,
,395048,
,191419,
,106475,
,113799,
,378294,
,177851,
,136325,
,163734,
,411745,
,50302,
,185143,
,500413,
,314055,
,757928,
,435981,
,78333,
,431018,
,456778,
,186548,
,1393906,
,1484007,
,65722,
,1055370,
,107848,
,122283,
,246994,
