non_instn_acad_staff_pub_service,non_instn_acad_staff_pub_service,employees,2015
non_instn_acad_staff_research,non_instn_acad_staff_research,employees,2015
admin_profstaff_salary_ofcadmin_outlay,admin_profstaff_salary_ofcadmin_outlay,employees,2015
nonadmin_servicestaffsalary_construction_outlay,nonadmin_servicestaffsalary_construction_outlay,employees,2015
nonadmin_servicestaffsalary_production_outlay,nonadmin_servicestaffsalary_production_outlay,employees,2015
EAPCAT,EAPCAT,employees,2015
admin_profstaff_management,admin_profstaff_management,employees,2015
admin_profstaff_business,admin_profstaff_business,employees,2015
admin_profstaff_comp,admin_profstaff_comp,employees,2015
admin_profstaff_comunityservice,admin_profstaff_comunityservice,employees,2015
admin_profstaff_healthcare,admin_profstaff_healthcare,employees,2015
admin_profstaff_ofcadmin,admin_profstaff_ofcadmin,employees,2015
nonadmin_servicestaffsalary_service_outlay,nonadmin_servicestaffsalary_service_outlay,employees,2015
nonadmin_servicestaffsalary_sales_outlay,nonadmin_servicestaffsalary_sales_outlay,employees,2015
non_instn_acad_staff_library,non_instn_acad_staff_library,employees,2015
instruction_staff,instruction_staff,employees,2015
non_admin_service_staff_service,non_admin_service_staff_service,employees,2015
non_admin_service_staff_sales,non_admin_service_staff_sales,employees,2015
non_admin_service_staff_resource,non_admin_service_staff_resource,employees,2015
non_admin_service_staff_prod,non_admin_service_staff_prod,employees,2015
instructors_per_thousand_student,instructors_per_thousand_student,employees,2015
admin_professional_staff,admin_professional_staff,employees,2015
admin_professionalstaff_perthousandstudent,admin_professionalstaff_perthousandstudent,employees,2015
noninstruction_academicstaff,noninstruction_academicstaff,employees,2015
noninstruction_academicstaff_perthousandstudent,noninstruction_academicstaff_perthousandstudent,employees,2015
nonadmin_trade_servicestaff,nonadmin_trade_servicestaff,employees,2015
nonadmin_tradeservicestaff_perthousandstudent,nonadmin_tradeservicestaff_perthousandstudent,employees,2015
all_instructors_staff,all_instructors_staff,employees,2015
instructor_salarypermillion,instructor_salarypermillion,employees,2015
adminprofessionalstaff_salarypermillion,adminprofessionalstaff_salarypermillion,employees,2015
noninstruction_academicstaff_salarypermillion,noninstruction_academicstaff_salarypermillion,employees,2015
nonadmin_tradeservicestaff_salarypermillion,nonadmin_tradeservicestaff_salarypermillion,employees,2015
school_id,UNITID,school_summary,2015
year,year,school_summary,2015
school_name,school_name,school_summary,2015
total_studentcount_1,total_studentcount_1,school_summary,2015
instruction_staff,instruction_staff,school_summary,2015
instructors_per_thousand_student,instructors_per_thousand_student,school_summary,2015
admin_professional_staff,admin_professional_staff,school_summary,2015
admin_professionalstaff_perthousandstudent,admin_professionalstaff_perthousandstudent,school_summary,2015
noninstruction_academicstaff,noninstruction_academicstaff,school_summary,2015
noninstruction_academicstaff_perthousandstudent,noninstruction_academicstaff_perthousandstudent,school_summary,2015
nonadmin_trade_servicestaff,nonadmin_trade_servicestaff,school_summary,2015
nonadmin_tradeservicestaff_perthousandstudent,nonadmin_tradeservicestaff_perthousandstudent,school_summary,2015
all_instructors_staff,all_instructors_staff,school_summary,2015
ug_student_perthousandstudent,ug_student_perthousandstudent,school_summary,2015
instructor_salarypermillion,instructor_salarypermillion,school_summary,2015
adminprofessionalstaff_salarypermillion,adminprofessionalstaff_salarypermillion,school_summary,2015
noninstruction_academicstaff_salarypermillion,noninstruction_academicstaff_salarypermillion,school_summary,2015
nonadmin_tradeservicestaff_salarypermillion,nonadmin_tradeservicestaff_salarypermillion,school_summary,2015
ug_average_sch_studentperay,ug_average_sch_studentperay,school_summary,2015
grad_average_sch_studentperay,grad_average_sch_studentperay,school_summary,2015
ug_degrees_perthousand_ugstudent,ug_degrees_perthousand_ugstudent,school_summary,2015
ug_certi_perthousand_ugstudent,ug_certi_perthousand_ugstudent,school_summary,2015
graddegree_perhundredgradstudent,graddegree_perhundredgradstudent,school_summary,2015
grad_certi_perhundred_gradstudent,grad_certi_perhundred_gradstudent,school_summary,2015
bachelordegree_4yeargradrate,bachelordegree_4yeargradrate,school_summary,2015
bachelordegree_6yeargradrate,bachelordegree_6yeargradrate,school_summary,2015
associatedegree_certi3yeargradrate,associatedegree_certi3yeargradrate,school_summary,2015
loan_default_rate,loan_default_rate,school_summary,2015
unitid,unitid,schools,2014
name,name,schools,2014
address,address,schools,2014
city,city,schools,2014
state,state,schools,2014
zip,zip,schools,2014
fips_state_code,fips_state_code,schools,2014
geo_location,geo_location,schools,2014
admin_name,admin_name,schools,2014
admin_title,admin_title,schools,2014
telephone_number,telephone_number,schools,2014
emp_id,emp_id,schools,2014
opeid,opeid,schools,2014
ope_flag,ope_flag,schools,2014
school_url,school_url,schools,2014
admission_url,admission_url,schools,2014
finance_url,finance_url,schools,2014
online_app_url,online_app_url,schools,2014
netprice_calcurl,netprice_calcurl,schools,2014
sector,sector,schools,2014
institution_level,institution_level,schools,2014
institution_control,institution_control,schools,2014
highestlevel_offering,highestlevel_offering,schools,2014
ug_offering,ug_offering,schools,2014
grad_offering,grad_offering,schools,2014
highestdegree_offered,highestdegree_offered,schools,2014
degreegranting_status,degreegranting_status,schools,2014
historical_blackCollege,historical_blackCollege,schools,2014
hospital,hospital,schools,2014
grant_medicaldegree,grant_medicaldegree,schools,2014
tribal_college,tribal_college,schools,2014
degree_urbanization,degree_urbanization,schools,2014
open_public,open_public,schools,2014
mergedschool_unitid,mergedschool_unitid,schools,2014
status,status,schools,2014
year_deletion_ipeds,year_deletion_ipeds,schools,2014
closed_date,closed_date,schools,2014
current_year_active,current_year_active,schools,2014
postsec_indicator,postsec_indicator,schools,2014
postsec_inst_indicator,postsec_inst_indicator,schools,2014
postsectitle_instindicator,postsectitle_instindicator,schools,2014
reporting_method,reporting_method,schools,2014
institutename_alias,institutename_alias,schools,2014
institute_category,institute_category,schools,2014
landgrand_institution,landgrand_institution,schools,2014
institute_sizecategory,institute_sizecategory,schools,2014
cbsa,cbsa,schools,2014
cbsa_type,cbsa_type,schools,2014
combinedstasticalarea,combinedstasticalarea,schools,2014
newengland_citytownarea,newengland_citytownarea,schools,2014
multi_inst,multi_inst,schools,2014
multi_inst_name,multi_inst_name,schools,2014
fips_countycode,fips_countycode,schools,2014
county_name,county_name,schools,2014
cogressional_distcode,cogressional_distcode,schools,2014
geo_longitude,geo_longitude,schools,2014
geo_latitude,geo_latitude,schools,2014
school_id,UNITID,carnegie_classifications,2014
carnegie_basic,carnegie_basic,carnegie_classifications,2014
carnegie_ug_program,carnegie_ug_program,carnegie_classifications,2014
carnegie_grad_program,carnegie_grad_program,carnegie_classifications,2014
carnegie_ug_profile,carnegie_ug_profile,carnegie_classifications,2014
carnegie_enroll_profile,carnegie_enroll_profile,carnegie_classifications,2014
carnegie_size_setting,carnegie_size_setting,carnegie_classifications,2014
carnegie_classification2000,carnegie_classification2000,carnegie_classifications,2014
school_id,UNITID,students,2014
cohort_status8,cohort_status8,students,2014
